id,name,depth,time_slice,importance
54,zero-ineffici stochast frontier,3,2015-2017,0.8367634559987357
64,energi effici resid,3,2015-2017,0.7235457916937568
71,cwed,3,2015-2017,0.6887346742647726
73,clean-develop invest,3,2015-2017,0.6875686143976276
78,consumpt-base carbon tax,3,2015-2017,0.6572634818989531
79,tfcep,3,2015-2017,0.6464340753375928
90,hrl,3,2015-2017,0.5962709499739401
92,common-suffer job burnout,3,2015-2017,0.5923413314220183
101,irena,3,2015-2017,0.5623324478859045
112,polar amplif,3,2015-2017,0.5434385963654835
114,citi-dweller,3,2015-2017,0.5374319561347464
125,coal consumpt rate,3,2015-2017,0.5095566712809517
133,environment effici chang,3,2015-2017,0.4990251785725605
134,environment total factor product,3,2015-2017,0.4990251785725605
139,zisf,3,2015-2017,0.49735215350225537
153,poyang lake ecolog econom zone,3,2015-2017,0.47503901542743276
156,nmo,3,2015-2017,0.4676096358479793
161,hepp,3,2015-2017,0.46451639826739194
162,product-base carbon tax,3,2015-2017,0.4639986385188882
166,black sea and balkan countri,3,2015-2017,0.45907075881949017
168,market-specif news,3,2015-2017,0.4496871465256935
170,unilater emiss cut,3,2015-2017,0.44362426328829097
172,sflq,3,2015-2017,0.44113328034227484
176,rig count,3,2015-2017,0.4385338527074331
183,lcgp,3,2015-2017,0.4333728895921546
196,residu simul,3,2015-2017,0.42864282075375626
198,residu coal,3,2015-2017,0.4281961860571843
206,sub-trajectori,3,2015-2017,0.4236355661353323
211,progress price,3,2015-2017,0.4206372870853322
218,border-cross frequenc,3,2015-2017,0.4155004493383749
219,energi-price regul,3,2015-2017,0.4154020827547248
220,enpo,3,2015-2017,0.4138845247407709
233,roll blackout,3,2015-2017,0.4073898768643741
236,axiomat product model,3,2015-2017,0.40586841264079676
237,shock absorpt index,3,2015-2017,0.4055583527380918
4,gefcom 2017,4,2018-2020,3.3040278196199693
12,oil price distort,4,2018-2020,2.104372478791823
15,energi and co 2 effici,4,2018-2020,1.8691854983626568
20,madsr,4,2018-2020,1.5912078738873898
21,datum integr attack,4,2018-2020,1.5762758856794439
22,china's commerci sector,4,2018-2020,1.5445145144953576
29,energi effici resid,4,2018-2020,1.2668634193638848
36,sdrc,4,2018-2020,1.1783684311718763
51,hepp,4,2018-2020,0.8942286588933407
55,welfar-maxim tariff,4,2018-2020,0.8351607304340019
59,electr generat intens,4,2018-2020,0.8106667580491334
66,dsg,4,2018-2020,0.711902526080294
68,pump-storag,4,2018-2020,0.7102731094498154
84,regul(eu) 2017 / 1938,4,2018-2020,0.6204591221909326
87,central rise polici,4,2018-2020,0.6076290750103349
88,multi-dimension interact,4,2018-2020,0.5986036060146803
89,prosum household,4,2018-2020,0.5969587969963899
95,shale technic revolut,4,2018-2020,0.5748965325091484
97,multipl-supplier model,4,2018-2020,0.5720645298859506
106,electr charg subsidi,4,2018-2020,0.5463613247087649
116,markov perfect solut,4,2018-2020,0.5350401853812848
122,intragener distribut,4,2018-2020,0.5159759038304834
129,albedo modif,4,2018-2020,0.5027491585337462
141,non-technic barrier,4,2018-2020,0.48896427003825
143,dau,4,2018-2020,0.48814249502668333
146,cfpml,4,2018-2020,0.4778975290816789
147,fdpml,4,2018-2020,0.4778975290816789
148,penal control function maximum likelihood,4,2018-2020,0.4778975290816789
149,penal first-differ maximum likelihood,4,2018-2020,0.4778975290816789
150,uec,4,2018-2020,0.47726326602909214
159,coincid peak price,4,2018-2020,0.4657239582226713
165,persist and transient cost effici,4,2018-2020,0.46082976018590466
167,panel stochast frontier,4,2018-2020,0.45130102817797246
171,vironment,4,2018-2020,0.4421055764040324
174,build green retrofit,4,2018-2020,0.44041917755272153
177,zld,4,2018-2020,0.4364388333235753
185,pandem recoveri,4,2018-2020,0.4328502270800597
193,general discount rate,4,2018-2020,0.43111999939949813
202,energi score,4,2018-2020,0.4248044320486891
205,sub-trajectori,4,2018-2020,0.4236355661353323
208,tfeeg,4,2018-2020,0.42223279936004987
210,esfit,4,2018-2020,0.4206372870853322
214,individu new energi consumpt,4,2018-2020,0.4182011053428068
217,uhic,4,2018-2020,0.4155004493383749
235,tfege,4,2018-2020,0.40586841264079676
